event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,day_utc,window_start_utc,window_end_utc,gauge_id,gauge_label,gauge_distance_km,gauge_method,triangulated_gauges,rain_day_mm,rain_prev24_mm,rain_window_total_mm,rain_window_max15_mm,n_readings_present,n_readings_expected,n_gauges_skipped_stuck,verdict,verdict_basis,rule_version,classified_utc,radar_window_total_mm,radar_3x3_max_total_mm,radar_status,is_final
anglian:AWS00001:1789548301000,anglian:AWS00001,anglian,2026-09-16T08:45:01Z,2026-09-16T09:00:01Z,15,hub,2026-09-16,2026-09-15T00:00:00Z,2026-09-17T00:00:00Z,3dd4d04b-4002-4908-b8fa-bd1f1e4d436e,Wellingborough,7.39,nearest,,0.03,0.01,0.04,0.02,191,192,0,dry_day,total,dry-day-v3,2026-09-20T22:10:02Z,0.69,1.00,complete,false
anglian:AWS00001:1789620360000,anglian:AWS00001,anglian,2026-09-17T04:46:00Z,2026-09-17T05:00:01Z,14,hub,2026-09-17,2026-09-16T00:00:00Z,2026-09-18T00:00:00Z,3dd4d04b-4002-4908-b8fa-bd1f1e4d436e,Wellingborough,7.39,nearest,,0.19,0.03,0.22,0.07,192,192,0,dry_day,total,dry-day-v3,2026-09-21T01:05:27Z,1.56,2.37,complete,true
anglian:AWS00001:1789673401000,anglian:AWS00001,anglian,2026-09-17T19:30:01Z,2026-09-17T19:45:01Z,15,hub,2026-09-17,2026-09-16T00:00:00Z,2026-09-18T00:00:00Z,3dd4d04b-4002-4908-b8fa-bd1f1e4d436e,Wellingborough,7.39,nearest,,0.19,0.03,0.22,0.07,192,192,0,dry_day,total,dry-day-v3,2026-09-21T01:05:27Z,1.56,2.37,complete,true
anglian:AWS00001:1789682401000,anglian:AWS00001,anglian,2026-09-17T22:00:01Z,2026-09-17T22:15:01Z,15,hub,2026-09-17,2026-09-16T00:00:00Z,2026-09-18T00:00:00Z,3dd4d04b-4002-4908-b8fa-bd1f1e4d436e,Wellingborough,7.39,nearest,,0.19,0.03,0.22,0.07,192,192,0,dry_day,total,dry-day-v3,2026-09-21T01:05:27Z,1.56,2.37,complete,true
anglian:AWS00001:1789945260000,anglian:AWS00001,anglian,2026-09-20T23:01:00Z,2026-09-20T23:15:01Z,14,hub,2026-09-20,2026-09-19T00:00:00Z,2026-09-21T00:00:00Z,3dd4d04b-4002-4908-b8fa-bd1f1e4d436e,Wellingborough,7.39,nearest,,0,0,0,0,191,192,0,dry_day,total,dry-day-v3,2026-09-21T13:12:08Z,0.10,0.13,complete,false
anglian:AWS00015:1778500656000,anglian:AWS00015,anglian,2026-05-11T11:57:36Z,2026-05-11T12:01:07Z,4,hub,2026-05-11,2026-05-10T00:00:00Z,2026-05-12T00:00:00Z,83241cc6-974e-4e3d-9065-f34e992a96be,Ulceby Cross,6.26,nearest,,0.2,0,0.2,0.2,192,192,0,dry_day,total,dry-day-v3,2026-09-20T22:10:02Z,0.63,0.70,complete,true
anglian:AWS00018:1785937058000,anglian:AWS00018,anglian,2026-08-05T13:37:38Z,2026-08-05T13:48:39Z,11,hub,2026-08-05,2026-08-04T00:00:00Z,2026-08-06T00:00:00Z,477a1639-3b67-4b1f-8c7f-66ac2a69c0e2,Chesterton,1.57,nearest,,0,0,0,0,192,192,0,dry_day,total,dry-day-v3,2026-09-20T22:10:02Z,0.17,0.26,complete,true
anglian:AWS00024:1782705212000,anglian:AWS00024,anglian,2026-06-29T03:53:32Z,2026-06-29T06:00:04Z,127,hub,2026-06-29,2026-06-28T00:00:00Z,2026-06-30T00:00:00Z,8de159d8-774e-4a8a-b3e8-7efe37bf7592,Ashbrook,0.04,nearest,,0,0,0,0,192,192,0,dry_day,total,dry-day-v3,2026-09-20T22:10:02Z,0.01,0.01,complete,true
anglian:AWS00033:1731506074000,anglian:AWS00033,anglian,2024-11-13T13:54:34Z,2024-11-13T13:55:20Z,1,hub,2024-11-13,2024-11-12T00:00:00Z,2024-11-14T00:00:00Z,bdc17251-0c5b-4dba-a639-8555435345ad,Attleborough,3.03,nearest,,0,0,0,0,192,192,0,dry_day,total,dry-day-v3,2026-09-20T22:10:02Z,,,missing,true
anglian:AWS00040:1783522711000,anglian:AWS00040,anglian,2026-07-08T14:58:31Z,2026-07-08T14:58:42Z,0,hub,2026-07-08,2026-07-07T00:00:00Z,2026-07-09T00:00:00Z,471298fd-efa2-4fce-914e-6018cf0a7253,Stanton,10.04,triangulated_3,Stanton (471298fd-efa2-4fce-914e-6018cf0a7253) 10.04 km 0 mm|Great Finborough (e1f078dd-8914-4382-af87-abdf7e09d898) 10.39 km 0 mm|Eye (301c6ce9-1a7e-40bf-b447-311a3c68551a) 10.63 km 0.01 mm,0.003,0,0.003,0.01,192,192,0,dry_day,total,dry-day-v3,2026-09-20T22:10:02Z,0.02,0.03,partial,true
