event_id,from_verdict,to_verdict,changed_utc,n_readings_present
anglian:AWS00110:1789272230000,dry_day,not_dry,2026-09-18T23:03:50Z,192
anglian:AWS00119:1789280170000,dry_day,not_dry,2026-09-18T23:03:50Z,192
anglian:AWS00204:1788930636000,dry_day,not_dry,2026-09-18T23:05:00Z,192
anglian:AWS00368:1789274306000,dry_day,not_dry,2026-09-18T23:03:50Z,192
anglian:AWS00524:1789276219000,dry_day,not_dry,2026-09-18T23:03:50Z,192
anglian:AWS00988:1788866027000,dry_day,not_dry,2026-09-18T23:05:00Z,192
northumbrian:NWL00057:1789650479000,dry_day,not_dry,2026-09-20T11:46:03Z,192
northumbrian:NWL00057:1789676639000,dry_day,not_dry,2026-09-20T11:46:03Z,192
northumbrian:NWL00667:1789620600000,not_dry,dry_day,2026-09-20T11:46:03Z,192
thames:TWL00241:1788856920000,dry_day,not_dry,2026-09-18T23:05:00Z,192
thames:TWL00596:1788863160000,dry_day,not_dry,2026-09-18T23:05:00Z,192
yorkshire:YWS00291:1789151568000,not_dry,dry_day,2026-09-20T11:46:03Z,192
yorkshire:YWS02105:1789419696000,dry_day,not_dry,2026-09-20T11:46:03Z,192
