event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
anglian:AWS00074:1768052598000,anglian:AWS00074,anglian,2026-01-10T13:43:18Z,2026-01-10T13:53:37Z,10,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00115:1768986960000,anglian:AWS00115,anglian,2026-01-21T09:16:00Z,2026-01-21T09:31:00Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00118:1769807400000,anglian:AWS00118,anglian,2026-01-30T21:10:00Z,2026-02-03T11:59:37Z,5210,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00163:1769184345000,anglian:AWS00163,anglian,2026-01-23T16:05:45Z,2026-01-23T16:05:45Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00284:1769529935000,anglian:AWS00284,anglian,2026-01-27T16:05:35Z,2026-01-27T16:05:35Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00372:1769502178000,anglian:AWS00372,anglian,2026-01-27T08:22:58Z,2026-02-26T09:57:02Z,43294,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00397:1768509125000,anglian:AWS00397,anglian,2026-01-15T20:32:05Z,2026-01-15T22:45:38Z,134,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00513:1769523088000,anglian:AWS00513,anglian,2026-01-27T14:11:28Z,2026-01-28T22:44:54Z,1953,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00640:1768517882000,anglian:AWS00640,anglian,2026-01-15T22:58:02Z,2026-01-16T04:59:24Z,361,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00643:1769809197000,anglian:AWS00643,anglian,2026-01-30T21:39:57Z,2026-01-30T21:54:50Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00683:1769516522000,anglian:AWS00683,anglian,2026-01-27T12:22:02Z,2026-01-27T19:38:28Z,436,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00686:1769516522000,anglian:AWS00686,anglian,2026-01-27T12:22:02Z,2026-01-27T19:38:28Z,436,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00687:1768060789000,anglian:AWS00687,anglian,2026-01-10T15:59:49Z,2026-01-10T16:04:22Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00973:1769516427000,anglian:AWS00973,anglian,2026-01-27T12:20:27Z,2026-01-27T21:32:26Z,552,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01027:1769066089000,anglian:AWS01027,anglian,2026-01-22T07:14:49Z,2026-01-22T14:57:17Z,462,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01108:1768557854000,anglian:AWS01108,anglian,2026-01-16T10:04:14Z,2026-01-16T10:04:54Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01111:1768826040000,anglian:AWS01111,anglian,2026-01-19T12:34:00Z,2026-01-19T12:39:38Z,6,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01122:1769311012000,anglian:AWS01122,anglian,2026-01-25T03:16:52Z,2026-01-25T07:00:04Z,223,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
