overflow_key,company_slug,company_name,source_id,latitude,longitude,receiving_watercourse,first_seen_utc,last_seen_utc
anglian:AWS00001,anglian,Anglian Water,AWS00001,52.363274,-0.674287,UN-NAMED TRIB RIVER ISE,2026-09-17T00:49:00Z,2026-09-22T14:50:25Z
anglian:AWS00002,anglian,Anglian Water,AWS00002,52.363591,-0.674512,UNNAMED TRIBUTARY OF RIVER ISE,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00004,anglian,Anglian Water,AWS00004,52.302651,-0.672138,Trib River Ise,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00005,anglian,Anglian Water,AWS00005,52.363300,-0.674242,UNNAMED TRIBUTARY OF RIVER ISE,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00006,anglian,Anglian Water,AWS00006,52.258039,-0.678599,TRIB. OF WOLLASTON BROOK,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00007,anglian,Anglian Water,AWS00007,52.195167,-0.200708,THE HEN BROOK,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00008,anglian,Anglian Water,AWS00008,52.238076,-0.840870,THE RIVER NENE NAVIGATION,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00009,anglian,Anglian Water,AWS00009,52.112837,-1.064048,THE RIVER TOVE,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00010,anglian,Anglian Water,AWS00010,52.035951,-0.965501,Leckhampstead Brook,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00011,anglian,Anglian Water,AWS00011,52.855404,1.245118,Scarrow Beck River Bure,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00012,anglian,Anglian Water,AWS00012,52.135187,1.612994,North Sea,2026-09-17T00:49:00Z,2026-09-25T14:50:24Z
anglian:AWS00013,anglian,Anglian Water,AWS00013,52.630264,-0.549062,River Chater,2026-09-17T00:49:00Z,2026-09-24T10:26:51Z
anglian:AWS00014,anglian,Anglian Water,AWS00014,52.421133,-0.519320,Trib River Nene,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00015,anglian,Anglian Water,AWS00015,53.260393,0.187908,HOLME FEN DRAIN,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00016,anglian,Anglian Water,AWS00016,52.950028,-0.719527,tributary Foston Beck,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00017,anglian,Anglian Water,AWS00017,52.929355,-0.625622,Unknown trib.,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00018,anglian,Anglian Water,AWS00018,52.551544,-0.333368,TRIB RIVER NENE,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00019,anglian,Anglian Water,AWS00019,53.036930,-0.339021,UNNAMED TRIBUTARY ANWICK SOKE,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00020,anglian,Anglian Water,AWS00020,52.546489,-0.485757,Willow Brook,2026-09-17T00:49:00Z,2026-09-19T13:20:07Z
anglian:AWS00021,anglian,Anglian Water,AWS00021,51.948564,-1.210059,Stoke Lyne Brook,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00022,anglian,Anglian Water,AWS00022,52.130107,-0.061318,Trib River Cam,2026-09-17T00:49:00Z,2026-09-25T08:30:29Z
anglian:AWS00023,anglian,Anglian Water,AWS00023,52.423204,-0.894507,Trib River Rhee,2026-09-17T00:49:00Z,2026-09-25T00:48:07Z
anglian:AWS00024,anglian,Anglian Water,AWS00024,51.933842,-0.252638,"ASH BROOK, RIVER GREAT OUSE NT",2026-09-17T00:49:00Z,2026-09-22T11:30:29Z
anglian:AWS00025,anglian,Anglian Water,AWS00025,52.311315,-1.154627,River Nene (Whilton Branch),2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00026,anglian,Anglian Water,AWS00026,52.510131,-0.822675,Trib River Welland,2026-09-17T00:49:00Z,2026-09-25T14:10:31Z
anglian:AWS00027,anglian,Anglian Water,AWS00027,52.551918,-0.135409,Trib River Nene,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00028,anglian,Anglian Water,AWS00028,52.549449,-0.127107,tributary Whittlesey Dyke,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00029,anglian,Anglian Water,AWS00029,52.132358,-0.879556,SALCEY BROOK,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00030,anglian,Anglian Water,AWS00030,52.052919,-0.171425,THE RIVER RHEE,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00031,anglian,Anglian Water,AWS00031,52.533988,1.174494,Wreningham Stream River Tas  N,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00033,anglian,Anglian Water,AWS00033,52.524283,1.030875,Upper River Crouch,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
