date,gauge_id,total_mm,max15_mm,n_readings,n_unchecked,n_good,n_other_quality,fetched_utc
2026-06-07,003e72e8-d476-4683-8b9e-e09013d1c5d9,0,0,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,005af543-8711-4f72-b465-29381d658a3a,2.2,0.4,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,00992da3-367d-49b6-9a39-ca6c75dbf444,4.5,1,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,00c815ec-2cad-4b4f-b0b8-d17ddef9925a,1.93,0.36,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,00d8d575-54a8-4200-bbe7-c18203212525,11.4,0.8,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,0112fdc2-7033-4871-9593-9e7c0cd7da25,1.82,0.4,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,01b46a35-34a9-4c4b-a2ed-38356a826017,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,01eecc8f-dae3-4cc0-8e09-d475265f74ec,2.6,0.8,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,026196fb-dc64-4e06-bc2b-ce360bd65a0a,0.4,0.2,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,02708dcb-2859-4b51-bb5c-e6d43aaeacab,7.9,0.5,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,02bd4687-2b55-4f42-b1cf-77066f01cc70,2.905,0.446,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,02bd591f-2864-4598-89e9-b12029fda416,10.34,0.84,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,0315fef3-ecc3-4a0d-a305-7bab91dd016f,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,0329331a-141d-4281-864b-39b4d69b41f2,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,036eca2e-76f8-41f4-9d49-557ef8e67f47,0,0,96,0,0,96,2026-09-20T19:43:39Z
2026-06-07,03fd9d1b-c6db-424c-a7e6-6800134b416c,1.301,0.3,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,0453dceb-90ef-4a8f-84cb-793c0acca456,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,0470415f-d2ba-4bcb-9994-87047e0ff2c2,0,0,96,0,0,96,2026-09-20T19:43:39Z
2026-06-07,04a1694b-bf2a-4607-a19c-ca386421f336,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,04c4a99a-48e8-4076-b095-f612cda57fe0,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,05161480-ee3c-4d7b-90ef-505d447451b7,7.2,0.8,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,051f1b2a-6aca-4402-8956-5474ad39b12a,0.2,0.2,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,057db6e6-a895-4795-b9f6-4d0dcfc9bc3a,0.16,0.05,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,058832c1-73f3-48a1-8ec1-190535d37dd0,3.2,0.6,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,05a74880-57a3-4868-bb3d-9a13aaf5e05c,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,05ac6ccc-673a-487a-bd42-1f174b7ca141,1.6,0.2,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,05d55cc4-d0da-4293-bd9f-07025fdcd689,0,0,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,05d8e49c-dc4f-42f9-a425-229809ec7802,1.2,0.4,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,0604776f-e579-4b63-840e-26a74c188843,13.83,1.04,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,0633c7dd-7509-4333-9029-1b4799265ac1,0,0,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,0675835c-6fa3-4d02-a072-c2011fd34c35,0,0,96,0,96,0,2026-09-20T19:43:39Z
2026-06-07,06dddd26-e12e-4e5b-a5e4-b45f35ad7cce,2.32,0.28,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,07b8c8fb-1a56-4577-93c5-ca370e54b089,0,0,96,0,0,96,2026-09-20T19:43:39Z
2026-06-07,07bc9f60-5541-43c7-965b-042b8150cf12,14.35,0.87,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,07c117b8-40d9-43b1-a13d-e75b7596ef4d,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,07fef0a9-1e76-414e-943b-4aa7092ff848,0,0,96,96,0,0,2026-09-20T19:43:39Z
2026-06-07,0869dd87-2f6f-43da-b9c6-2907c104a2de,0.03,0.01,96,0,96,0,2026-09-20T19:43:39Z
