overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc,source
thames:TWL00000,thames,2022-04-01T00:00:00Z,2025-03-09T06:58:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00000,thames,2025-07-03T07:06:00Z,2025-08-14T12:30:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00000,thames,2025-10-10T14:14:00Z,2025-10-22T00:00:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00001,thames,2023-10-29T09:00:00Z,2023-11-08T09:15:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00002,thames,2022-12-12T18:15:00Z,2022-12-14T09:45:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2022-04-01T00:00:00Z,2022-04-29T06:00:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2022-10-06T13:00:00Z,2023-11-21T10:48:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2024-05-02T08:14:00Z,2024-05-13T11:20:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2024-05-13T15:00:00Z,2024-05-14T07:20:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2025-03-27T11:28:00Z,2025-03-27T16:48:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2025-07-28T07:18:00Z,2025-07-28T14:28:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2026-02-19T08:04:00Z,2026-02-19T15:00:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2026-02-27T08:08:00Z,2026-03-02T12:08:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2026-05-08T09:26:00Z,2026-05-08T10:06:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2026-06-10T09:54:00Z,2026-06-10T11:42:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2026-07-07T08:16:00Z,2026-07-10T08:54:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2026-07-13T15:46:00Z,2026-07-13T17:18:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00003,thames,2026-08-21T12:14:00Z,2026-08-21T13:48:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00004,thames,2022-11-28T19:20:00Z,2022-12-09T19:54:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00004,thames,2025-03-24T16:56:00Z,2025-03-27T08:20:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00004,thames,2025-05-27T07:24:00Z,2025-06-04T11:16:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00005,thames,2022-07-19T11:06:00Z,2022-11-25T13:04:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00005,thames,2023-12-26T03:00:00Z,2024-01-02T10:50:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00005,thames,2024-05-07T03:00:00Z,2024-05-14T07:40:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00005,thames,2025-03-27T11:30:00Z,2025-03-27T16:48:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
thames:TWL00005,thames,2025-07-25T07:16:00Z,2025-07-25T14:36:00Z,feed,2026-09-19T20:01:39Z,2026-09-19T20:01:39Z,thames_api
